,253950,39230,-2671
30865995,254062,39333,-2529
30866696,254022,39120,-2608
30867399,254159,39092,-2701
30868101,253917,39224,-2594
30868802,253895,39237,-2418
30869505,254026,38918,-2617
30870207,253896,39024,-2668
30870909,253958,39152,-2781
30871611,254006,39122,-2472
30872313,253950,39114,-2489
30873016,253824,39191,-2535
30873718,254023,39101,-2556
30874420,253917,39188,-2464
30875123,253899,39322,-2100
30875825,253844,39250,-2153
30876526,253863,38969,-2766
30877229,253925,38948,-2841
30877931,254095,38792,-2709
30878632,253770,39198,-2465
30879335,254036,39107,-2871
30880038,253378,39275,-2430
30880739,253966,38984,-2506
30881442,254264,39356,-2104
30882145,253851,39228,-2232
30882846,254156,39131,-2822
30883548,253902,39116,-2464
30884251,254076,39044,-2466
30884952,253829,39174,-2552
30885654,253882,39150,-2811
30886356,254090,39128,-2832
30887058,253947,39167,-2634
30887760,254043,39035,-2583
30888462,254010,39243,-2409
30889164,254030,39071,-2693
30889866,253994,39063,-2419
30890567,253862,39238,-2717
30891269,254037,39124,-2427
30891971,254048,39187,-2531
30892672,253739,39042,-2598
30893375,253895,38951,-2670
30894078,253918,39034,-2751
30894779,253991,39246,-2603
30895482,253688,39115,-2759
30896185,254025,39145,-2551
30896886,253785,39045,-2676
30897587,253821,39000,-2504
30898290,253905,39013,-2558
30898991,253882,39210,-2450
30899692,254017,39107,-2531
30900395,253870,39138,-2415
30901097,254076,38992,-2601
30901798,253851,38925,-2646
30902501,253978,39000,-2681
30903203,253766,38855,-2759
30903904,253886,39297,-2552
30904606,254076,39214,-2528
30905308,253936,39214,-2822
30906011,254233,39061,-2296
30906713,254021,39132,-2373
30907415,253763,39025,-2508
30908118,254059,39279,-2426
30908820,254111,39375,-2916
30909521,254057,39121,-2592
30910224,253900,39078,-2222
30910925,253994,39069,-2419
30911626,254160,39214,-2424
30912329,253862,38933,-2780
30913032,253949,39150,-2529
30913733,253864,39389,-2491
30914436,253985,39103,-2606
30915139,254090,39089,-2756
30915840,254013,39048,-2448
30916542,254077,39177,-2770
30917245,254135,39101,-2361
30917946,254068,38998,-3190
30918648,253914,38877,-2526
30919350,253958,39198,-2649
30920052,254006,39015,-2743
30920754,254087,39179,-2654
30921456,253870,38967,-2580
30922158,253837,38767,-2329
30922860,254017,39166,-2908
30923561,253756,39177,-2542
30924264,254043,39170,-2455
30924966,253994,39261,-2607
30925667,253854,39110,-2226
30926370,254186,39214,-2319
30927073,253843,39015,-2537
30927774,254175,39124,-2421
30928477,253757,39127,-2194
30929180,253686,39012,-2406
30929881,253959,39169,-2721
30930583,254279,39146,-2346
30931286,254013,39060,-2583
30931987,253964,39044,-2419
30932688,253911,39146,-2644
30933391,253964,39322,-2701
30934094,253935,39096,-2236
30934795,253853,39301,-2456
30935498,253924,39387,-2501
30936201,254121,39297,-2617
30936902,253752,39179,-2502
30937603,253904,38895,-2673
30938306,253890,39157,-2682
30939008,253906,39202,-2748
30939710,253924,39048,-2528
30940413,253850,39011,-2725
30941115,253854,39150,-2542
30941817,253940,38992,-2856
30942519,253845,39029,-2683
30943221,253812,39144,-2420
30943923,253851,39153,-2711
30944624,253759,39022,-2609
30945326,254001,39165,-2348
30946029,253998,39200,-2621
30946730,253878,39015,-2513
30947432,254070,39276,-2487
30948135,254083,39167,-2664
30948836,254012,39348,-2571
30949537,253852,39125,-2218
30950240,254000,39065,-2175
30950941,254001,39211,-2716
30951642,254205,39117,-2528
30952345,253924,39162,-2789
30953047,253861,39053,-2588
30953748,254090,38975,-2877
30954451,253807,39272,-2615
30955153,253895,39193,-2507
30955854,254230,38952,-2586
30956556,254223,39390,-2565
30957258,253896,39057,-2608
30957959,254107,38976,-2659
30958661,254079,39295,-2400
30959363,253789,39126,-2305
30960066,253906,39204,-2614
30960768,253836,39342,-2098
30961470,254011,39017,-2641
30962173,253969,38842,-2768
30962875,254250,38996,-2685
30963576,254021,39079,-2352
30964279,254077,39372,-2484
30964980,253891,39094,-2514
30965681,253954,39066,-2607
30966384,254111,38930,-2557
30967086,253803,39113,-2580
30967787,253789,39146,-2419
30968490,253967,38844,-2496
30969192,253727,39112,-2793
30969893,254143,39290,-2375
30970595,253918,39207,-2306
30971297,254100,39098,-2549
30971998,254025,39246,-2412
30972700,253893,39254,-2290
30973402,253726,39253,-2614
30974105,254102,38952,-2202
30974807,254170,39259,-2515
30975509,253835,39118,-2661
30976212,253910,38945,-2748
30976914,253683,39267,-2725
30977615,253977,39207,-2763
30978318,254108,39150,-2572
30979021,254170,39081,-2612
30979722,253980,39048,-2965
30980425,254004,39200,-2468
30981128,253974,39001,-2449
30981829,254183,39073,-2546
30982530,253892,39091,-2573
30983233,253976,39222,-2596
30983934,253947,39087,-2523
30984636,253936,39154,-2748
30985339,253832,39062,-2616
30986041,253940,39075,-2473
30986743,253895,39056,-2816
30987446,253868,39078,-2472
30988148,254190,39274,-2445
30988850,253940,39368,-2497
30989551,253968,39152,-2361
30990253,253753,39142,-2681
30990955,253818,39111,-2523
30991656,254000,39336,-2735
30992358,253848,39236,-2338
30993061,253945,38815,-2684
30993762,253964,39297,-2372
30994464,253890,39169,-2664
30995167,254047,39224,-2694
30995868,254005,39164,-2269
30996569,254014,39273,-2501
30997272,254156,39108,-2600
30997973,253951,38989,-2886
30998674,253952,39139,-2762
30999377,253910,38956,-2757
31000080,254069,39048,-2807
31000781,254052,39081,-2814
31001484,254097,38977,-2832
31002186,253935,39046,-2410
31002887,254000,39234,-2732
31003589,253950,39049,-2556
31004291,253811,39064,-2955
31004992,253762,39000,-2632
31005694,254043,39170,-2204
31006396,254036,39191,-2544
31007098,254061,39151,-2676
31007800,253926,39192,-2825
31008502,253978,39158,-2330
31009204,253941,38949,-2688
31009906,253867,39102,-2214
31010607,254136,39270,-2710
31011310,253883,39294,-2519
31012013,253836,39170,-2589
31012714,253884,39103,-2243
31013417,254195,39115,-2550
31014120,253724,39198,-2437
31014821,254100,39296,-2279
31015522,253807,39200,-2454
31016225,253913,39309,-2580
31016926,253864,39265,-2717
31017627,253849,39364,-2541
31018330,253954,39272,-2285
31019032,253956,39260,-2629
31019733,253904,38952,-2374
31020436,254128,39002,-2900
31021138,254080,39085,-2701
31021839,254050,39168,-2371
31022541,253938,38912,-2699
31023243,253987,39234,-2528
31023945,253973,39194,-2713
31024647,253989,39182,-2608
31025349,253948,39189,-2505
31026052,253965,39061,-2514
31026754,253656,39406,-2553
31027456,254130,39391,-2658
31028159,253961,39170,-2396
31028860,254008,39134,-2524
31029561,253707,39257,-2527
31030264,253789,39168,-2734
31030965,254190,39115,-2543
31031666,253980,39169,-2315
31032369,253815,39019,-2119
31033072,253827,39073,-2489
31033773,253908,39238,-2462
31034476,253768,39123,-2484
31035179,253856,39159,-2672
31035880,253944,39191,-2326
31036582,253944,39152,-2214
31037284,253886,39308,-2576
31037985,254079,39209,-2542
31038687,253908,38839,-2839
31039390,254021,39057,-2507
31040092,254080,39157,-2229
31040794,253887,39329,-2393
31041496,253704,39221,-2342
31042198,254109,39548,-2455
31042900,254087,39138,-2697
31043601,254155,39186,-2504
31044303,253871,39053,-2606
31045006,253794,39079,-2835
31045707,253956,39198,-2593
31046409,253923,38980,-2779
31047112,253921,39229,-2513
31047813,253812,39136,-2686
31048514,254130,39294,-2681
31049217,254030,39087,-2689
31049918,253868,39142,-2692
31050619,253795,39232,-2679
31051322,253965,39167,-2618
31052025,254065,38995,-2288
31052726,253896,38879,-2752
31053429,253881,39103,-2750
31054132,254121,39250,-2109
31054833,253956,39274,-2485
31055535,254175,38899,-2604
31056237,254004,39112,-2456
31056938,254050,39168,-2734
31057640,253774,39093,-2579
31058342,253936,39089,-2649
31059044,253938,38974,-2766
31059746,253810,39240,-2454
31060448,253912,39203,-2537
31061151,253822,39002,-2395
31061853,254176,39210,-2837
31062554,253821,39223,-2396
31063257,253841,39135,-2568
31063959,253774,39459,-2303
31064660,253905,39246,-2984
31065363,253847,39213,-2262
31066066,253887,39044,-2553
31066767,253922,38957,-2524
31067470,253956,39111,-2855
31068173,253863,39280,-2348
31068874,254116,38863,-2604
31069576,254085,39224,-2419
31070279,254005,39168,-2663
31070980,254172,39164,-2812
31071681,253984,39068,-2508
31072384,253751,39040,-2432
31073086,253865,39202,-2562
31073788,253847,39036,-2472
31074491,253928,39004,-2670
31075193,254008,39319,-2493
31075895,254041,39157,-2267
31076597,253910,38857,-2479
31077299,253993,39170,-2598
31078002,253842,39047,-2553
31078703,254178,38957,-2862
31079405,254067,39174,-2442
31080108,253758,39250,-2842
31080809,254059,39069,-2462
31081510,254026,38865,-2421
31082213,254001,39069,-2632
31082914,253689,39127,-2455
31083615,254120,39328,-2622
31084318,253822,39066,-2729
31085020,253956,39193,-2334
31085721,253798,39147,-2468
31086424,253944,39227,-2563
31087126,253758,39160,-2561
31087827,253799,39152,-2577
31088529,254147,39050,-2592
31089231,253960,39014,-2421
31089932,253830,39180,-2288
31090634,253870,39112,-2570
31091336,253989,39072,-2590
31092038,253779,39131,-2699
31092740,254010,39295,-2560
31093442,253956,39255,-2786
31094144,253986,39135,-2872
31094846,253925,39141,-2488
31095547,253773,39154,-2285
31096250,253882,39099,-2253
31096952,253973,39168,-2521
31097653,254022,39158,-2533
31098356,254142,39085,-2643
31099059,254167,39099,-2860
31099760,253898,39150,-2592
31100463,254058,39042,-2697
31101166,253785,39395,-2524
31101867,254014,39137,-2760
31102568,253830,39263,-2478
31103271,253994,39285,-2325
31103972,253940,39213,-2490
31104673,254041,39088,-2688
31105376,253826,39007,-2533
31106078,253910,39124,-2622
31106779,254045,38944,-2312
31107482,253878,39195,-2634
31108184,253888,39240,-2730
31108886,253802,39148,-2616
31109588,254001,39021,-2868
31110290,253917,39252,-2466
31110992,253922,39102,-2366
31111694,253896,39232,-2324
31112396,253966,39042,-2703
31113099,253818,39237,-2791
31113801,253953,39157,-2805
31114503,253990,39297,-2706
31115206,253904,39114,-2551
31115907,253976,39243,-2269
31116608,253972,39346,-2293
31117311,253787,39257,-2324
31118014,253917,38993,-2460
31118715,253740,39180,-2383
31119418,253989,39114,-2478
31120121,254106,39039,-2719
31120822,254055,39170,-2877
31121524,253865,39054,-2481
31122227,253919,39174,-2315
31122928,253715,38926,-2667
31123630,254105,39172,-2577
31124333,253900,39165,-2429
31125035,254001,39097,-2520
31125737,253877,39077,-2435
31126439,253959,39350,-2526
31127141,253976,39161,-2256
31127843,253958,38986,-2706
31128544,254059,38832,-2648
31129247,253985,39169,-2306
31129949,253888,38883,-2745
31130650,254062,39238,-2712
31131353,254055,39203,-2463
31132056,254020,39249,-2618
31132757,253989,39236,-2553
31133460,253795,39173,-2245
31134163,254180,39080,-2738
31134864,253806,39153,-2502
31135566,253918,39300,-2460
31136269,253915,39031,-2478
31136970,254010,39075,-2462
31137672,254041,39042,-2559
31138374,254139,39044,-2796
31139076,253915,39209,-2556
31139778,254101,39207,-2365
31140480,254079,39113,-2686
31141182,253897,39038,-2451
31141884,253917,39207,-2543
31142585,253836,39317,-2435
31143288,253917,39362,-2562
31143990,253755,39224,-2455
31144692,253858,39102,-2227
31145394,253936,39057,-2750
31146096,253925,39219,-2535
31146798,254108,38937,-2596
31147500,253897,39119,-2511
31148202,254086,39126,-2684
31148904,253796,38960,-2672
31149605,253890,39011,-2484
31150307,253846,39147,-2585
31151010,254002,39095,-2681
31151711,253762,39182,-2719
31152413,254053,39128,-2614
31153116,253955,39162,-2645
31153817,254004,39124,-2885
31154518,254098,38944,-2445
31155221,253910,39396,-2660
31155922,253891,38985,-2690
31156623,254135,39179,-2553
31157326,253897,39330,-2466
31158029,253820,39270,-2591
31158730,253972,39210,-2485
31159433,253929,38984,-2556
31160136,253764,38964,-2403
31160837,254073,39297,-2540
31161539,254081,38952,-2617
31162242,253994,39198,-2327
31162943,254072,39104,-2364
31163645,254030,39050,-2530
31164347,254126,39227,-2473
31165049,253733,38970,-2806
31165751,253928,39138,-2540
31166453,254087,39051,-2677
31167155,253925,39127,-2624
31167857,253936,39153,-2828
31168558,254109,39298,-2530
31169260,253806,39053,-2517
31169962,253959,39121,-2589
31170663,254073,39188,-2493
31171366,253785,39261,-2524
31172069,254136,39186,-2605
31172770,253764,39300,-2519
31173473,253846,39155,-2905
31174176,253996,39162,-2497
31174877,253891,39078,-2310
31175578,253967,39264,-2763
31176281,253958,39138,-2819
31176982,253979,39191,-2473
31177683,254025,39119,-2411
31178386,253999,39320,-2581
31179089,253869,38961,-2685
31179790,254004,38979,-2737
31180493,253930,38997,-2349
31181196,254270,39219,-2218
31181897,253824,39459,-2383
31182599,253985,39231,-2440
31183302,253976,39093,-2424
31184004,253737,39055,-2524
31184706,253899,39144,-2635
31185409,253982,39076,-2694
31186111,254188,39026,-2679
31186813,254034,39157,-2351
31187515,253689,39003,-2506
31188217,253985,39098,-2867
31188919,254170,39368,-2490
31189621,254176,39009,-2378
31190323,253868,39214,-2556
31191026,254037,39207,-2677
31191728,253918,39028,-2600
31192430,253906,38976,-2452
31193133,254071,39017,-2622
31193834,253873,38948,-2378
31194535,253815,39259,-2421
31195238,253908,39137,-2407
31195939,254086,39322,-2552
31196640,253967,39190,-2439
31197343,254016,39195,-2418
31198045,253946,39220,-2464
31198746,254032,39052,-2346
31199449,253992,39213,-2395
31200151,254003,39273,-2429
31200852,253973,39277,-2696
31201554,254082,39290,-2290
31202256,253977,39070,-2796
31202957,254072,39262,-2541
31203659,253874,39134,-2528
31204361,253844,39167,-2403
31205063,253955,39015,-2916
31205765,253938,39013,-2700
31206467,253852,39306,-2599
31207170,254055,39144,-2607
31207872,254139,39273,-2445
31208573,253855,39111,-2551
31209276,253861,39132,-2625
31209978,253888,39246,-2596
31210679,254093,39098,-2586
31211381,253760,39063,-2544
31212084,253920,39260,-2685
31212785,253995,39222,-2376
31213487,253990,39006,-2758
31214190,253914,39077,-2671
31214891,253920,39215,-2756
31215592,254029,39115,-2888
31216295,254133,39128,-2733
31216996,253965,39039,-2549
31217697,253805,39074,-2415
31218400,253888,39320,-2303
31219103,254133,39210,-2333
31219804,253902,39222,-2565
31220507,253982,39052,-2240
31221210,253771,39184,-2258
31221911,254054,39422,-2534
31222613,253801,39206,-2527
31223315,254349,39270,-2217
31224017,253767,39096,-2466
31224719,253946,38937,-2381
31225421,253912,39124,-2491
31226123,254068,39141,-2441
31226825,254106,39063,-2455
31227526,254166,39022,-2699
31228228,253873,38908,-2505
31228930,253852,39210,-2635
31229631,253923,39261,-2658
31230334,253908,39120,-2693
31231037,253960,39192,-2290
31231738,253893,39561,-2680
31232441,254070,39158,-2633
31233144,253891,39171,-2738
31233845,254160,39115,-2460
31234546,253889,39002,-2630
31235249,253855,39090,-2672
31235950,253872,38912,-2504
31236651,253977,39310,-2581
31237354,254038,39249,-2490
31238056,253892,39010,-2496
31238758,253839,39221,-2429
31239461,253852,38981,-2752
31240163,254070,39084,-2236
31240865,254049,39189,-2601
31241566,253842,39296,-2472
31242268,254097,39278,-2632
31242970,253925,39179,-2396
31243671,254078,39138,-2812
31244373,253803,39356,-2583
31245076,253792,39260,-2772
31245777,253938,39296,-2477
31246479,253927,39120,-2767
31247182,253901,39258,-2550
31247883,254030,39026,-2553
31248584,254187,39169,-2259
31249287,253919,39157,-2529
31249988,253974,39205,-2772
31250689,254005,39273,-2594
31251392,253994,39120,-2737
31252095,253881,39019,-2712
31252796,253883,38994,-2851
31253499,253962,39229,-2557
31254202,253841,39100,-2653
31254903,253999,39180,-2581
31255605,253892,38902,-2239
31256307,254115,39128,-2856
31257009,254073,39093,-2500
31257711,253980,39150,-2729
31258413,254071,39277,-2805
31259115,254012,39036,-2761
31259817,254162,39093,-2504
31260518,254013,39183,-2385
31261221,253883,39214,-2319
31261923,253992,39152,-2580
31262624,253962,39191,-2706
31263327,253833,39278,-2545
31264030,253914,39076,-2782
31264731,254055,39219,-2398
31265434,253860,39161,-2821
31266137,253975,38957,-2522
31266838,253929,39197,-2538
31267540,254054,39436,-2457
31268243,253738,39265,-2571
31268944,253937,39108,-2221
31269645,254061,39105,-2707
31270348,253845,39247,-2463
31271050,253769,39165,-2543
31271751,253944,39273,-2648
31272454,254180,39316,-2591
31273156,254148,39247,-2518
31273858,254108,39266,-2614
31274560,253968,39188,-2923
31275262,254018,39216,-2457
31275964,253887,39094,-2485
31276666,254036,39358,-2577
31277368,253895,39044,-2335
31278071,253908,38954,-2486
31278773,253937,39195,-2460
31279475,253712,39289,-2757
31280178,253891,39130,-2743
31280879,254090,39097,-2313
31281580,253819,39015,-2765
31282283,253925,39115,-2725
31282984,254037,38995,-2532
31283686,254031,38963,-2305
31284388,253872,39044,-2172
31285090,253855,39407,-2430
31285792,254050,39157,-2586
31286494,253945,39172,-2459
31287196,254034,39090,-2724
31287898,253947,39177,-2461
31288599,253748,39022,-2672
31289302,254158,39196,-2614
31290005,253911,39151,-2607
31290706,253851,39105,-2897
31291409,254089,38944,-2495
31292112,254012,39027,-2499
31292813,253891,38977,-2649
31293514,253941,39256,-2411
31294217,254099,39193,-2527
31294918,253855,38923,-2533
31295619,253909,39206,-2738
31296322,253738,39309,-2586
31297025,254064,38912,-2654
31297726,253958,39035,-2823
31298429,253993,39240,-2765
31299131,253956,39260,-2468
31299832,253837,38969,-2385
31300534,253965,39191,-2501
31301236,253895,39247,-2312
31301937,254044,39382,-2279
31302639,253920,39244,-2037
31303341,254083,39067,-2646
31304044,253861,39134,-2586
31304746,253996,39126,-2357
31305448,253996,39245,-2315
31306151,254110,39151,-2662
31306853,253953,39020,-2580
31307554,253940,38914,-2605
31308257,254010,39111,-2586
31308958,254130,39213,-2374
31309659,253915,38912,-2818
31310362,253989,38964,-2677
31311065,254075,39170,-2668
31311766,253868,39078,-2683
31312469,253884,39216,-2511
31313172,254041,39250,-2572
31313873,253995,39013,-2304
31314575,253968,39228,-2562
31315278,253769,39191,-2293
31315979,253956,39027,-2845
31316681,253905,39234,-2295
31317383,253963,39292,-2534
31318086,254057,39148,-2423
31318788,253912,39002,-2646
31319490,254002,39051,-2733
31320193,253850,38835,-2609
31320895,254088,38975,-2513
31321596,253883,39105,-2747
31322299,254179,39104,-2518
31323002,254100,39248,-2549
31323703,253914,39033,-2490
31324406,254077,39101,-2698
31325109,253951,39039,-2483
31325810,253909,39293,-2415
31326512,254014,39265,-2693
31327215,253999,39229,-2552
31327916,253929,39228,-2528
31328618,253872,39228,-2419
31329321,254052,39242,-2459
31330023,253962,39229,-2408
31330725,254016,39154,-2533
31331428,253938,39136,-2546
31332130,253913,39149,-2573
31332831,253891,39179,-2410
31333533,253771,39232,-2243
31334235,253712,39060,-2678
31334936,254120,39051,-2560
31335638,253715,39189,-2714
31336340,253981,39137,-2436
31337042,253978,39056,-2632
31337744,254111,39253,-2745
31338447,253863,39078,-2963
31339149,253866,39187,-2912
31339851,253987,39114,-2815
31340553,254064,39085,-2704
31341255,254066,38977,-2593
31341957,254176,39188,-2421
31342658,253951,38974,-2758
31343360,253933,39017,-2736
31344063,253912,39043,-2752
31344765,254196,39249,-2586
31345467,254113,39027,-2379
31346169,253956,39198,-2480
31346871,254052,39106,-2523
31347572,254072,39080,-2674
31348274,253972,39277,-2441
31348976,253964,39262,-2983
31349677,253760,39175,-2339
31350379,253858,39371,-2882
31351082,253868,39151,-2568
31351783,253987,39293,-2758
31352485,253893,39067,-2769
31353188,254034,38931,-2304
31353889,253983,39330,-2684
31354590,253860,39137,-2594
31355293,253873,39065,-2716
31355994,254037,39069,-2547
31356695,253941,39153,-2583
31357398,254052,39023,-2897
31358101,254011,39115,-2794
31358802,253776,39030,-2796
31359505,253964,39028,-2639
31360208,253946,39040,-2653
31360909,253845,39062,-2420
31361610,253940,39108,-2355
31362313,253965,39100,-2635
31363016,253937,39064,-2752
31363717,254080,39229,-2722
31364420,254084,38868,-2531
31365123,253978,39159,-2687
31365824,254091,39276,-2583
31366525,253899,39030,-2487
31367228,253791,39216,-2352
31367929,253816,39276,-2858
31368630,254019,39258,-2502
31369333,253856,39275,-2478
31370036,253973,39089,-2851
31370737,254017,39191,-2493
31371440,254073,39376,-2856
31372143,253882,39343,-2510
31372844,254162,39328,-2712
31373545,254179,39254,-2561
31374248,254111,39243,-2266
31374949,253780,39155,-2675
31375650,254009,39317,-2496
31376353,253917,39313,-2598
31377055,253936,39314,-2163
31377756,254093,39197,-2645
31378459,253953,39063,-2670
31379161,254055,39119,-2664
31379862,253933,39102,-2423
31380564,254004,39290,-2600
31381267,254229,39184,-2632
31381968,254093,39206,-2685
31382670,253832,39386,-2591
31383373,254111,39229,-2602
31384075,253695,39029,-2646
31384777,254075,39110,-2573
31385480,253762,39057,-2260
31386182,253852,39275,-2498
31386883,253909,38910,-2589
31387585,254082,39067,-2418
31388287,253794,39224,-2543
31388988,253950,39089,-2398
31389690,253761,38980,-2291
31390392,253917,39056,-2454
31391095,253954,39025,-2579
31391797,254161,39156,-2667
31392499,253825,39039,-2840
31393201,253790,39105,-2440
31393903,254162,39121,-2754
31394604,254007,39236,-2760
31395306,253805,39191,-2626
31396009,253929,39128,-2501
31396710,254147,39229,-2554
31397412,254108,39219,-2806
31398115,254090,39208,-2319
31398817,253918,39245,-2455
31399518,253901,39403,-2492
31400220,253947,39322,-2586
31400922,253837,39160,-2726
31401623,254006,39017,-2277
31402325,253788,39331,-2533
31403028,253679,39084,-2505
31403729,253963,39210,-2502
31404431,254018,39173,-2527
31405134,253851,39062,-2961
31405835,253932,39093,-2652
31406536,253970,39297,-2494
31407239,253793,39098,-2796
31407940,253878,39152,-2532
31408641,254008,39259,-2578
31409344,253854,38999,-2574
31410047,254004,39108,-2560
31410748,253990,39043,-2725
31411451,253994,39052,-2853
31412154,254091,39249,-2383
31412855,253807,39088,-2442
31413556,254016,39107,-2496
31414259,254216,39238,-2613
31414960,254017,39162,-2276
31415661,254041,39000,-2829
31416364,253920,39015,-2449
31417067,253890,38958,-2721
31417768,253913,39060,-2442
31418471,253940,39071,-2578
31419174,254149,38833,-2226
31419875,254082,39004,-2720
31420576,253743,39189,-2605
31421279,253955,39075,-2439
31421980,253892,39045,-2721
31422681,254078,39273,-2809
31423384,254001,39136,-2625
31424087,254042,38995,-2623
31424788,254193,39098,-2509
31425491,253886,39210,-2450
31426194,253906,39169,-2377
31426895,253922,39429,-2304
31427596,254124,39236,-2380
31428299,254019,39107,-2429
31429001,253957,38998,-2655
31429702,254301,39390,-2776
31430405,253904,39030,-2473
31431107,253991,38998,-2749
31431808,253884,38955,-2648
31432509,253744,39116,-2322
31433211,254118,39024,-2475
31433913,253859,39225,-2312
31434614,254182,39216,-2855
31435316,254032,39380,-2433
31436019,254066,39231,-2539
31436720,253974,38975,-2688
31437422,253815,39186,-2509
31438125,254041,39160,-2603
31438826,253951,39256,-2383
31439527,254097,39046,-2458
31440230,253999,38880,-2575
31440932,254036,39223,-2405
31441633,254046,39094,-2742
31442336,254054,39059,-2639
31443039,254126,39082,-2567
31443740,253921,39017,-2452
31444443,253775,39269,-2693
31445146,253987,38994,-2862
31445847,253982,39214,-2793
31446548,253933,38903,-2494
31447251,253853,38958,-2736
31447952,253980,39077,-2855
31448653,254220,39177,-2540
31449356,253945,39222,-2454
31450059,253886,39048,-2549
31450760,253951,39025,-2697
31451463,253794,39050,-2558
31452166,254284,39011,-2398
31452867,253854,39174,-2510
31453568,253973,39178,-2551
31454271,253837,39234,-2661
31454972,253940,39369,-2464
31455673,253955,39120,-2482
31456376,253851,39164,-2752
31457078,253946,39159,-2587
31457779,253956,39058,-2239
31458482,253799,39120,-2637
31459184,254033,39200,-2675
31459885,254023,39042,-2531
31460587,253798,38999,-2718
31461289,253966,39115,-2969
31461990,253839,39251,-2576
31462692,254040,39067,-2587
31463395,253999,39169,-2900
31464097,253773,39035,-2769
31464799,253912,39159,-2667
31465502,253823,39187,-2367
31466204,254016,39045,-2725
31466906,253868,39113,-2411
31467608,254073,39171,-2225
31468310,254189,39116,-2405
31469013,253942,39155,-2580
31469715,254217,39169,-2640
31470417,253866,39074,-2454
31471120,254134,39162,-2646
31471822,253953,39191,-2437
31472523,253874,39161,-2656
31473226,253891,39177,-2753
31473927,253753,39085,-2455
31474628,253981,39000,-2159
31475331,253989,38963,-2608
31476034,253993,39094,-2477
31476735,254052,38940,-2589
31477438,254000,39027,-2194
31478141,254021,39019,-2505
31478842,253880,39060,-2635
31479544,253951,39211,-2864
31480247,253953,39248,-2588
31480948,254172,39184,-2657
31481650,254299,39105,-2278
31482353,254145,39175,-2215
31483055,253913,39269,-2515
31483757,254191,39102,-2434
31484460,254090,39154,-2701
31485162,254028,39066,-2551
31485864,253776,39234,-2591
31486565,253880,39036,-2760
31487267,253855,38910,-2544
31487969,253944,39226,-2296
31488670,253699,39036,-2535
31489372,253959,39084,-2665
31490075,253925,38970,-2657
31490776,254108,39010,-2372
31491478,254001,39042,-2454
31492181,253900,39195,-2648
31492883,253986,39152,-2808
31493584,253963,39219,-2673
31494287,253801,39089,-2613
31494989,254023,39004,-2633
31495690,254078,39197,-2417
31496393,254186,39200,-2707
31497096,254045,39081,-2411
31497797,254093,38942,-2415
31498499,254130,39318,-2217
31499202,254158,39148,-2586
31499903,254062,39207,-2887
31500604,253899,39229,-2653
31501307,253951,39063,-2657
31502010,253891,39246,-2688
31502711,253951,39027,-2488
31503414,253756,39074,-2455
31504117,253758,39178,-2644
31504818,253735,38917,-2825
31505519,253819,39079,-2733
31506222,253832,39040,-2639
31506923,253739,39121,-2733
31507624,254065,39229,-2662
31508327,253977,39221,-2350
31509030,253987,39099,-2507
31509731,253818,39387,-2715
31510434,253942,38999,-2790
31511137,253998,39080,-2240
31511838,254108,39153,-2259
31512540,254087,39184,-2535
31513243,254048,39164,-2483
31513944,254118,39065,-2396
31514645,253940,39153,-2388
31515348,253877,39378,-2524
31516050,253847,39192,-2645
31516751,253875,39061,-2380
31517454,254082,39207,-2452
31518156,254039,39036,-2732
31518857,253873,38842,-2520
31519559,253873,39079,-2055
31520261,254035,39078,-2253
31520962,253805,39106,-2542
31521664,253960,39052,-2822
31522366,254104,38878,-2205
31523068,254010,38979,-2509
31523770,254129,39149,-2721
31524473,254166,39237,-2675
31525175,253914,39057,-2628
31525877,253992,39175,-2717
31526579,253766,39103,-2523
31527281,253686,39224,-2450
31527983,254061,39187,-2505
31528684,253816,39057,-2965
31529386,254022,39168,-2879
31530089,253971,39299,-2428
31530791,253858,38972,-2857
31531493,253805,39027,-2366
31532196,253835,39066,-2404
31532898,253942,39139,-2539
31533599,253935,38959,-2729
31534302,254061,39298,-2659
31535005,253789,39072,-2620
31535706,254003,39066,-2936
31536408,253896,39354,-2530
31537111,253843,39057,-2463
31537812,254072,38765,-2595
31538513,253879,38898,-2450
31539216,254044,39213,-2379
31539917,253955,38827,-2302
31540618,253953,38992,-2614
31541321,254166,39282,-2521
31542024,254156,39436,-2155
31542725,254156,39080,-3054
31543428,253932,38958,-2758
31544131,253895,39237,-2753
31544832,253735,38871,-2654
31545533,253746,39288,-2750
31546236,253988,38979,-2525
31546937,253973,39317,-2320
31547638,254122,39150,-2380
31548341,254034,38950,-2529
31549044,253766,38977,-2639
31549745,253987,39049,-2948
31550448,253661,38866,-2794
31551151,253737,39026,-2858
31551852,253919,38960,-2544
31552553,253793,39314,-2569
31553256,254066,39093,-2500
31553957,254004,39295,-2488
31554658,254004,39191,-2716
31555361,253949,39276,-2447
31556064,254053,39157,-2097
31556765,254068,39174,-2660
31557468,254045,39294,-2667
31558171,253906,39440,-2367
31558872,254087,39142,-2716
31559573,253873,39152,-2311
31560276,253908,39282,-2384
31560977,253811,39198,-2752
31561678,253902,39054,-2781
31562380,253936,39339,-2818
31563083,253571,39209,-2482
31563784,253824,39288,-2637
31564486,254100,38984,-2723
31565189,254119,39349,-2386
31565891,253744,39183,-2820
31566592,253767,38986,-2599
