235511434,-4475,189810,173198
235512137,-4583,189860,172902
235512839,-4601,189819,173030
235513540,-4527,189855,173159
235514242,-4384,189626,173082
235514944,-4292,189788,173010
235515645,-4397,189748,172776
235516347,-4535,189945,173063
235517050,-4465,189916,173067
235517752,-4359,190003,173138
235518454,-4290,189978,173025
235519157,-4509,189892,172944
235519859,-4517,189936,172964
235520560,-4524,189794,173139
235521262,-4256,190010,172918
235521964,-4693,189995,172821
235522665,-4477,189736,172979
235523367,-4650,189648,172863
235524069,-4585,189789,172800
235524771,-4465,190062,172788
235525473,-4808,189885,172959
235526175,-4380,189865,173064
235526877,-4487,189984,172753
235527579,-4410,189808,173077
235528281,-4433,189810,172590
235528983,-4488,189888,172976
235529685,-4603,189734,172903
235530386,-4565,189673,173027
235531089,-4338,190004,173127
235531792,-4489,189744,173160
235532493,-4270,189813,172981
235533196,-4427,189738,172789
235533899,-4311,189648,173238
235534600,-4300,189846,173140
235535302,-4565,189720,173122
235536005,-4680,189635,173001
235536707,-4504,189772,173140
235537409,-4483,189963,173051
235538112,-4524,189930,173075
235538814,-4411,189843,172919
235539515,-4590,189992,172837
235540217,-4539,189855,172855
235540919,-4362,189874,173073
235541620,-4484,189798,172866
235542322,-4593,189834,172969
235543024,-4210,189905,173069
235543726,-4349,190072,172675
235544428,-4652,189896,172907
235545130,-4473,189852,172896
235545832,-4518,189745,172551
235546534,-4377,189812,172984
235547235,-4446,189729,172734
235547937,-4539,189713,172721
235548639,-4616,189789,172924
235549340,-4416,189782,173265
235550042,-4466,189670,173090
235550745,-4637,189747,173067
235551447,-4170,189879,172909
235552149,-4423,189846,172790
235552851,-4437,189834,172965
235553553,-4364,189784,172819
235554254,-4189,189815,172816
235554956,-4331,190048,172986
235555658,-4392,189582,172812
235556359,-4481,189785,172969
235557062,-4581,189758,173077
235557765,-4414,189939,173091
235558466,-4580,189703,173074
235559168,-4443,189757,172749
235559871,-4659,189809,172657
235560572,-4526,189869,172914
235561273,-4499,189730,172620
235561976,-4351,189685,172912
235562677,-4551,189711,172865
235563378,-4877,189853,173026
235564081,-4450,189898,173063
235564784,-4505,189605,172716
235565485,-4292,189853,172861
235566188,-4652,189915,173180
235566891,-4557,189658,173126
235567592,-4590,189870,172796
235568293,-4438,189725,172696
235568996,-4346,189789,173030
235569697,-4574,189776,173005
235570398,-4282,189904,173244
235571101,-4598,189801,172962
235571804,-4394,189873,172737
235572505,-4615,189896,172666
235573206,-4404,189784,172805
235573909,-4547,189842,172882
235574610,-4467,189892,173028
235575311,-4404,189995,173187
235576014,-4554,189817,172738
235576717,-4639,189573,172955
235577418,-4436,189785,173055
235578121,-4468,189982,173028
235578824,-4371,189875,172898
235579525,-4337,189825,172786
235580227,-4387,189735,172951
235580930,-4533,189849,173107
235581631,-4584,189898,173021
235582333,-4540,189860,172895
235583036,-4496,189940,172945
235583738,-4398,189942,172945
235584439,-4702,189715,172872
235585142,-4512,189799,173302
235585844,-4332,189906,172715
235586545,-4366,189824,172795
235587247,-4551,189940,172970
235587949,-4339,189930,172911
235588650,-4549,189731,173111
235589352,-4312,190045,172718
235590054,-4560,189889,172922
235590756,-4319,189901,172920
235591458,-4513,189852,173009
235592160,-4497,189897,173350
235592862,-4335,189897,173099
235593564,-4662,189762,173073
235594266,-4532,189888,172769
235594968,-4495,189740,173055
235595669,-4539,189765,173009
235596371,-4557,189698,172910
235597073,-4547,189852,172940
235597775,-4459,189897,172949
235598477,-4412,189996,172805
235599179,-4678,189761,172956
235599881,-4420,189915,172976
235600583,-4548,189733,173138
235601284,-4498,189896,172803
235601986,-4466,189902,173139
235602688,-4415,189815,173010
235603390,-4414,190105,172771
235604092,-4594,189576,173076
235604794,-4623,189880,172851
235605496,-4479,189852,173259
235606198,-4530,189671,173005
235606900,-4562,189889,172869
235607602,-4463,189956,172742
235608303,-4395,189891,173024
235609005,-4585,189792,172996
235609708,-4327,189875,173067
235610410,-4418,190005,173193
235611112,-4565,189828,172858
235611814,-4518,189819,173104
235612516,-4473,189808,172647
235613217,-4467,190042,172932
235613920,-4388,189837,173109
235614622,-4376,189844,173049
235615323,-4507,189955,173148
235616025,-4433,189716,172859
235616728,-4342,189919,172812
235617429,-4247,189875,172794
235618131,-4639,189778,172964
235618834,-4365,189676,173102
235619535,-4741,189646,172924
235620236,-4449,189632,172825
235620939,-4593,189878,172983
235621641,-4306,189723,172778
235622342,-4715,190001,173038
235623045,-4506,189847,172925
235623748,-4578,189888,172868
235624449,-4648,189760,172822
235625152,-4548,189873,173064
235625855,-4522,189964,173054
235626556,-4679,189647,172778
235627257,-4513,189977,173046
235627960,-4453,189735,173058
235628661,-4427,189896,172789
235629362,-4489,189948,172864
235630065,-4520,190055,172928
235630768,-4382,190074,172995
235631469,-4624,189881,173016
235632172,-4471,189693,173225
235632875,-4324,189706,172859
235633576,-4387,189705,172881
235634277,-4631,189777,173112
235634980,-4639,189732,173017
235635681,-4414,189892,172955
235636382,-4274,189978,172875
235637084,-4414,189748,172957
235637787,-4545,190022,173084
235638488,-4414,190134,172916
235639190,-4494,189645,172862
235639893,-4413,189799,172891
235640595,-4728,189621,172870
235641296,-4354,190000,172895
235641999,-4423,189858,172791
235642701,-4497,189747,172751
235643402,-4241,189802,173216
235644105,-4600,189929,172688
235644808,-4557,189978,172908
235645509,-4250,189908,172721
235646210,-4595,189842,172626
235646913,-4452,189917,173299
235647614,-4593,189816,172673
235648315,-4431,189823,172890
235649018,-4257,189832,172872
235649721,-4415,189479,173106
235650422,-4507,189778,172896
235651125,-4737,189883,173033
235651828,-4416,189723,173043
235652529,-4480,189853,173053
235653230,-4504,189730,173127
235653933,-4518,189736,172852
235654634,-4421,189747,173010
235655335,-4530,189793,172981
235656038,-4455,189804,172784
235656740,-4503,189763,172905
235657441,-4527,189780,173129
235658144,-4238,189775,173022
235658847,-4319,189899,173055
235659548,-4531,189639,172964
235660250,-4336,189847,172902
235660953,-4583,189785,172995
235661654,-4513,189888,172863
235662356,-4477,189815,172953
235663059,-4589,189903,172896
235663761,-4604,189794,172874
235664462,-4461,189762,172983
235665165,-4452,189960,173133
235665867,-4524,189780,172713
235666568,-4539,189956,172854
235667270,-4455,189801,173140
235667972,-4494,189923,172972
235668673,-4530,189888,172929
235669375,-4437,190102,173077
235670078,-4475,189768,172965
235670780,-4578,189992,173153
235671482,-4408,189930,173151
235672185,-4325,189936,173201
235672887,-4403,190083,173034
235673588,-4418,189963,173043
235674290,-4497,189712,172932
235674992,-4666,189828,173211
235675693,-4335,189845,173180
235676395,-4468,189849,173039
235677097,-4324,189969,173039
235677799,-4487,189848,172935
235678501,-4452,189892,172789
235679203,-4663,189792,172661
235679905,-4404,189847,172823
235680607,-4316,189775,172984
235681308,-4502,189844,173003
235682010,-4292,189878,173050
235682713,-4387,189742,172803
235683414,-4512,189825,172865
235684116,-4585,189796,172890
235684819,-4743,189752,172976
235685521,-4364,189950,173281
235686222,-4499,189810,173213
235686925,-4511,189944,172992
235687627,-4518,189767,173035
235688328,-4579,189957,172960
235689031,-4476,189722,173190
235689734,-4602,189852,172837
235690435,-4664,189775,172774
235691138,-4359,189874,173013
235691841,-4551,189779,172854
235692542,-4162,189991,173129
235693243,-4341,189794,173064
235693946,-4392,190018,172933
235694647,-4332,189838,173076
235695348,-4514,189878,172793
235696051,-4549,190062,173180
235696754,-4583,189783,172739
235697455,-4461,189820,173008
235698158,-4605,189862,172600
235698861,-4468,189978,172990
235699562,-4269,189848,172878
235700263,-4494,189986,172692
235700966,-4428,189888,172767
235701667,-4445,189980,173128
235702368,-4215,189748,172717
235703071,-4400,189956,172571
235703774,-4418,189830,172895
235704475,-4487,189905,172916
235705178,-4482,189694,173112
235705881,-4492,189786,173133
235706582,-4285,189877,173036
235707284,-4573,189828,172840
235707987,-4494,189865,172927
235708688,-4368,189824,173121
235709390,-4542,189739,172959
235710092,-4697,189791,172992
235710794,-4705,189843,172834
235711496,-4434,189767,173024
235712199,-4501,189882,173165
235712901,-4570,189789,172834
235713603,-4503,189723,172800
235714305,-4351,189906,172978
235715007,-4326,189928,172993
235715709,-4300,189839,172920
235716411,-4457,189935,173070
235717113,-4400,189723,173026
235717815,-4650,189828,173023
235718517,-4391,189637,173010
235719219,-4470,189833,173180
235719921,-4543,189818,173239
235720623,-4323,189996,172914
235721325,-4571,189798,173078
235722027,-4593,189862,172953
235722729,-4653,189943,173037
235723431,-4484,189768,172835
235724134,-4594,189687,172921
235724836,-4278,189956,173155
235725538,-4468,190009,172922
235726240,-4396,189879,172803
235726942,-4561,189763,172783
235727643,-4385,189960,173224
235728345,-4279,189922,172942
235729047,-4430,189833,172954
235729749,-4500,189858,173133
235730451,-4526,189813,173055
235731153,-4538,189864,172949
235731855,-4587,190038,172980
235732557,-4527,189839,173149
235733259,-4627,189858,172776
235733961,-4495,189869,173167
235734662,-4705,189704,172863
235735364,-4405,189838,172928
235736066,-4440,189746,172807
235736768,-4474,189830,172955
235737470,-4436,189925,172938
235738172,-4371,189773,172998
235738874,-4251,189803,173116
235739576,-4176,189810,173148
235740277,-4594,189689,173169
235740979,-4481,189794,173072
235741681,-4511,189730,172670
235742382,-4629,189780,172986
235743084,-4525,189900,173093
235743787,-4644,189874,172985
235744488,-4628,189785,173025
235745190,-4451,189920,173038
235745893,-4607,189752,172895
235746595,-4664,189737,172821
235747296,-4493,189870,172942
235747999,-4390,189761,173203
235748701,-4458,189892,172963
235749402,-4476,189897,172985
235750105,-4399,189794,172866
235750808,-4322,189959,173133
235751509,-4300,189780,172888
235752210,-4530,189858,173137
235752913,-4309,190078,172972
235753614,-4728,189875,173051
235754315,-4491,189867,173069
235755018,-4488,189647,172956
235755721,-4356,189729,172787
235756422,-4513,189784,173273
235757125,-4247,189838,172707
235757828,-4486,189702,173039
235758529,-4637,189773,172882
235759230,-4419,189833,172909
235759933,-4322,189783,172892
235760634,-4468,189779,172985
235761335,-4322,189759,172913
235762038,-4371,189952,173147
235762740,-4521,190036,173015
235763441,-4630,189858,173126
235764144,-4328,189787,173042
235764847,-4693,189817,172748
235765548,-4315,189730,172945
235766250,-4473,189891,172710
235766953,-4450,189643,172690
235767654,-4412,189903,172856
235768356,-4592,189776,172977
235769059,-4443,189818,172751
235769761,-4673,189765,172959
235770462,-4560,189894,173004
235771165,-4346,189918,172763
235771867,-4307,189823,172921
235772568,-4377,189813,172911
235773270,-4332,189719,173048
235773972,-4354,189850,173241
235774673,-4250,189945,173163
235775375,-4425,189818,173006
235776078,-4508,189914,173024
235776780,-4363,190037,173244
235777482,-4304,189820,172900
235778185,-4565,189799,172716
235778887,-4286,189960,172959
235779588,-4350,190003,173064
235780290,-4324,189702,173214
235780992,-4693,189821,172884
235781693,-4563,190085,172801
235782395,-4645,189846,173072
235783097,-4540,189902,173038
235783799,-4387,189670,172680
235784501,-4389,189893,172734
235785203,-4487,189797,173104
235785905,-4587,189857,172777
235786607,-4536,189749,173008
235787308,-4488,189724,173242
235788010,-4431,189680,172953
235788713,-4607,189727,173216
235789414,-4460,189848,173229
235790116,-4644,189865,172934
235790819,-4477,189861,172696
235791521,-4470,190022,172756
235792222,-4480,189825,173074
235792925,-4576,189929,172805
235793627,-4367,189912,172991
235794328,-4395,190024,172882
235795031,-4574,189898,172923
235795734,-4439,189941,173007
235796435,-4709,189915,173109
235797138,-4283,189877,173139
235797841,-4510,189862,173003
235798542,-4493,190003,172901
235799243,-4633,189756,173079
235799946,-4476,189866,173069
235800647,-4579,189886,172834
235801348,-4450,189796,173013
235802051,-4514,189870,172860
235802754,-4651,189826,172795
235803455,-4380,189945,172872
235804157,-4349,189900,172981
235804860,-4531,189973,172933
235805562,-4547,189919,172923
235806263,-4373,189820,172758
235806965,-4580,189801,172849
235807667,-4571,189836,172789
235808369,-4542,189918,172850
235809071,-4326,189889,172798
235809774,-4475,189816,173058
235810476,-4674,189846,172760
235811178,-4416,189664,172904
235811880,-4515,189788,172995
235812582,-4336,190001,172850
235813284,-4538,189869,173048
235813986,-4485,189801,172907
235814688,-4581,189790,173114
235815390,-4576,189762,172900
235816092,-4408,189783,173041
235816794,-4304,189653,173074
235817496,-4491,190076,172889
235818199,-4455,189828,173117
235818901,-4688,189814,173149
235819602,-4601,189783,172843
235820304,-4488,189846,173025
235821006,-4445,190096,173144
235821708,-4617,189778,172801
235822410,-4312,189720,173200
235823113,-4439,189812,172881
235823815,-4506,189803,172922
235824516,-4578,190031,172704
