1,-4475,189810,173198
701,-4583,189860,172902
1401,-4601,189819,173030
2101,-4527,189855,173159
2801,-4384,189626,173082
3501,-4292,189788,173010
4201,-4397,189748,172776
4901,-4535,189945,173063
5601,-4465,189916,173067
6301,-4359,190003,173138
7001,-4290,189978,173025
7701,-4509,189892,172944
8401,-4517,189936,172964
9101,-4524,189794,173139
9801,-4256,190010,172918
10501,-4693,189995,172821
11201,-4477,189736,172979
11901,-4650,189648,172863
12601,-4585,189789,172800
13301,-4465,190062,172788
14001,-4808,189885,172959
14701,-4380,189865,173064
15401,-4487,189984,172753
16101,-4410,189808,173077
16801,-4433,189810,172590
17501,-4488,189888,172976
18201,-4603,189734,172903
18901,-4565,189673,173027
19601,-4338,190004,173127
20301,-4489,189744,173160
21001,-4270,189813,172981
21701,-4427,189738,172789
22401,-4311,189648,173238
23101,-4300,189846,173140
23801,-4565,189720,173122
24501,-4680,189635,173001
25201,-4504,189772,173140
25901,-4483,189963,173051
26601,-4524,189930,173075
27301,-4411,189843,172919
28001,-4590,189992,172837
28701,-4539,189855,172855
29401,-4362,189874,173073
30101,-4484,189798,172866
30801,-4593,189834,172969
31501,-4210,189905,173069
32201,-4349,190072,172675
32901,-4652,189896,172907
33601,-4473,189852,172896
34301,-4518,189745,172551
35001,-4377,189812,172984
35701,-4446,189729,172734
36401,-4539,189713,172721
37101,-4616,189789,172924
37801,-4416,189782,173265
38501,-4466,189670,173090
39201,-4637,189747,173067
39901,-4170,189879,172909
40601,-4423,189846,172790
41301,-4437,189834,172965
42001,-4364,189784,172819
42701,-4189,189815,172816
43401,-4331,190048,172986
44101,-4392,189582,172812
44801,-4481,189785,172969
45501,-4581,189758,173077
46201,-4414,189939,173091
46901,-4580,189703,173074
47601,-4443,189757,172749
48301,-4659,189809,172657
49001,-4526,189869,172914
49701,-4499,189730,172620
50401,-4351,189685,172912
51101,-4551,189711,172865
51801,-4877,189853,173026
52501,-4450,189898,173063
53201,-4505,189605,172716
53901,-4292,189853,172861
54601,-4652,189915,173180
55301,-4557,189658,173126
56001,-4590,189870,172796
56701,-4438,189725,172696
57401,-4346,189789,173030
58101,-4574,189776,173005
58801,-4282,189904,173244
59501,-4598,189801,172962
60201,-4394,189873,172737
60901,-4615,189896,172666
61601,-4404,189784,172805
62301,-4547,189842,172882
63001,-4467,189892,173028
63701,-4404,189995,173187
64401,-4554,189817,172738
65101,-4639,189573,172955
65801,-4436,189785,173055
66501,-4468,189982,173028
67201,-4371,189875,172898
67901,-4337,189825,172786
68601,-4387,189735,172951
69301,-4533,189849,173107
70001,-4584,189898,173021
70701,-4540,189860,172895
71401,-4496,189940,172945
72101,-4398,189942,172945
72801,-4702,189715,172872
73501,-4512,189799,173302
74201,-4332,189906,172715
74901,-4366,189824,172795
75601,-4551,189940,172970
76301,-4339,189930,172911
77001,-4549,189731,173111
77701,-4312,190045,172718
78401,-4560,189889,172922
79101,-4319,189901,172920
79801,-4513,189852,173009
80501,-4497,189897,173350
81201,-4335,189897,173099
81901,-4662,189762,173073
82601,-4532,189888,172769
83301,-4495,189740,173055
84001,-4539,189765,173009
84701,-4557,189698,172910
85401,-4547,189852,172940
86101,-4459,189897,172949
86801,-4412,189996,172805
87501,-4678,189761,172956
88201,-4420,189915,172976
88901,-4548,189733,173138
89601,-4498,189896,172803
90301,-4466,189902,173139
91001,-4415,189815,173010
91701,-4414,190105,172771
92401,-4594,189576,173076
93101,-4623,189880,172851
93801,-4479,189852,173259
94501,-4530,189671,173005
95201,-4562,189889,172869
95901,-4463,189956,172742
96601,-4395,189891,173024
97301,-4585,189792,172996
