189603,-7388,172989
485064467,189658,-7287,173141
485065169,189693,-7385,173304
485065872,189657,-7265,173019
485066573,189619,-7375,172936
485067274,189662,-7346,172986
485067977,189669,-7313,172950
485068678,189824,-7625,173054
485069379,189849,-7312,173049
485070082,189690,-7337,173113
485070785,189637,-7299,173012
485071486,189646,-7381,173328
485072189,189564,-7159,172766
485072892,189483,-7492,172839
485073593,189543,-7552,172792
485074295,189673,-7416,172969
485074998,189671,-7569,172960
485075699,189803,-7541,172798
485076401,189538,-7535,173103
485077103,189711,-7436,173130
485077805,189680,-7450,173346
485078507,189770,-7495,172938
485079208,189826,-7451,173009
485079910,189697,-7314,172928
485080612,189943,-7230,172954
485081313,189686,-7179,172858
485082015,189604,-7346,172883
485082718,189768,-7238,173146
485083419,189772,-7463,172886
485084122,189786,-7358,173158
485084825,189752,-7456,172992
485085526,189852,-7557,172851
485086227,189614,-7477,173048
485086930,189541,-7412,173148
485087631,189551,-7337,173183
485088333,189730,-7200,172897
485089036,189766,-7360,172851
485089738,189615,-7347,173003
485090440,189714,-7285,172887
485091143,189610,-7312,173079
485091845,189690,-7362,172913
485092547,189641,-7353,173042
485093248,189830,-7484,172974
485093950,189921,-7320,173142
485094652,189659,-7578,172868
485095353,189654,-7445,173139
485096055,189807,-7357,172999
485096758,189582,-7417,172771
485097459,189759,-7499,173028
485098161,189668,-7381,173101
485098864,189720,-7342,173115
485099565,189700,-7162,172863
485100266,189719,-7535,172815
485100969,189694,-7458,172794
485101670,189932,-7182,172789
485102371,189820,-7364,173044
485525491,189730,-7272,173060
485526194,189851,-7365,172598
485526897,189909,-7396,172870
485527598,189696,-7378,173008
485528299,189753,-7351,173111
485529002,189806,-7521,172895
485529705,189960,-7209,173029
485530407,189794,-7202,172935
485531109,189777,-7391,173206
485531811,189814,-7433,172981
485532513,189601,-7372,173211
485533215,189756,-7477,172781
485533917,189886,-7155,172964
485534619,189571,-7532,173030
485535321,189823,-7148,172938
485536023,189760,-7201,173106
485536725,189780,-7400,173156
485537427,189510,-7535,173190
485538130,189950,-7453,173201
485538832,189681,-7290,172650
485539533,189715,-7383,172985
485540235,189916,-7375,173145
485540937,189699,-7269,173128
485541638,189722,-7478,173221
485542340,189475,-7357,172830
485543043,189794,-7351,172764
485543745,189837,-7525,173022
485544446,189627,-7497,172989
485545149,189770,-7303,173012
485545852,189869,-7326,173180
485546553,189809,-7415,173088
485547255,189798,-7455,173100
485547958,189943,-7311,173058
485548659,189549,-7300,173072
485549361,189754,-7207,173020
485550064,189700,-7488,172733
485550766,189742,-7261,173129
485551467,189764,-7348,172919
485552170,189767,-7042,172988
485552873,189699,-7170,173045
485553574,189579,-7352,173122
485554275,189534,-7385,172866
485554978,189767,-7492,173059
485555679,189523,-7321,173124
485556380,189637,-7209,173243
485557083,189920,-7177,173016
485557786,189636,-7344,172933
485558487,189567,-7132,173037
485559190,189673,-7412,173073
485559893,189907,-7125,172965
485560594,189799,-7572,172914
485561295,189891,-7324,173211
485561998,189739,-7314,172963
485562699,189736,-7290,173210
485563400,189581,-7296,173179
485564103,189554,-7235,172878
485564806,189624,-7391,172971
485565507,189682,-7441,172805
485566208,189758,-7491,172871
485566911,189559,-7531,172918
485567613,189803,-7308,172920
485568314,189631,-7460,173171
485569016,189714,-7360,172993
485569719,189871,-7557,172837
485570420,189964,-7439,172992
485571122,189735,-7320,173109
485571825,189794,-7264,172778
485572527,189799,-7297,172948
485573228,189921,-7243,173316
485573931,189718,-7391,172847
485574633,189770,-7324,173155
485575334,189727,-7291,173032
485576036,189694,-7375,172910
485576739,189654,-7478,172938
485577441,189518,-7373,172965
485578143,189623,-7275,173088
485578845,189574,-7280,173045
485579547,189714,-7171,172987
485580248,189816,-7198,172865
485580950,189777,-7347,173099
485581652,189906,-7179,172910
485582353,189901,-7332,173075
485583055,189866,-7429,173137
485583758,189902,-7470,173095
485584460,189709,-7480,173273
485585162,189858,-7427,173176
485585864,189910,-7283,173152
485586566,189844,-7548,172886
485587267,189606,-7374,172756
485587969,189874,-7191,173187
485588671,189650,-7312,172923
485589373,189636,-7233,173162
485590075,189829,-7267,173216
485590777,189865,-7360,172905
485591479,189759,-7368,173414
485592181,189878,-7154,173044
485592883,189938,-7388,172964
485593585,189761,-7196,172945
485594287,189743,-7163,172843
485594989,189623,-7312,173230
485595690,189894,-7198,172939
485596391,189572,-7506,173232
485597094,189878,-7319,172905
485597797,189775,-7408,172978
485598498,189936,-7290,173034
485599201,189589,-7290,172886
485599904,189498,-7107,173043
485600605,189476,-7372,173127
485601306,189757,-7393,173238
485602009,189716,-7257,173041
485602712,189714,-7409,172846
485603413,189582,-7311,172807
485604116,189651,-7238,172941
485604819,189614,-7231,172785
485605520,189859,-7497,173075
485606221,189661,-7416,172947
485606924,189953,-7423,173001
485607625,189727,-7428,173000
485608326,189615,-7454,172990
485609029,190035,-7289,172942
485609732,189559,-7430,172864
485610433,189585,-7104,173127
485611136,189723,-7256,173271
485611839,189534,-7225,173149
485612540,189581,-7374,173291
485613241,189777,-7445,173075
485613944,189864,-7304,173199
485614645,189985,-7443,172994
485615346,189748,-7450,173012
485616049,189797,-7315,173260
485616752,189808,-7267,173117
485617453,189755,-7538,173030
485618155,189669,-7542,172891
485618858,189887,-7301,173115
485619559,189817,-7502,173250
