58,171731
525267937,-4588,190837,172136
525268639,-4548,190766,172035
525269341,-4645,190791,171727
525270043,-4635,190698,171721
525270745,-4581,190717,171614
525271447,-4610,190693,171715
525272150,-4589,190983,172040
525272852,-4441,190788,171736
525273553,-4538,190792,171751
525274255,-4405,190742,171832
525274957,-4476,190746,171749
525275658,-4767,190814,171823
525276359,-4570,190860,172014
525277062,-4818,190980,172086
525277765,-4467,190813,171826
525278466,-4501,191075,172125
525279169,-4508,190915,172162
525279872,-4595,190891,171966
525280573,-4517,190697,171633
525281274,-4430,190908,171558
525281977,-4709,190832,172043
525282678,-4623,190825,171743
525283379,-4357,190764,171990
525284082,-4562,190967,172106
525284785,-4347,190679,172334
525285486,-4619,190965,171814
525286188,-4593,190767,171699
525286891,-4418,190915,172162
525287593,-4601,190873,172002
525288294,-4419,190868,171866
525288996,-4601,190739,171820
525289698,-4713,190791,171933
525290400,-4678,190734,171909
525291102,-4565,190767,171776
525291804,-4485,190865,171959
525292506,-4514,190784,171974
525293207,-4546,190648,171824
525293909,-4523,190699,171837
525294611,-4441,190850,171950
525295313,-4510,190697,171956
525296015,-4686,190784,171919
525296717,-4608,190945,171894
525297419,-4679,190690,171795
525298122,-4508,190797,171632
525298824,-4696,190815,171820
525299525,-4607,190929,172028
525300227,-4576,191072,171770
525300930,-4731,190690,171892
525301631,-4621,190914,171817
525302332,-4554,190866,171719
525303035,-4324,190881,171989
525303738,-4493,190785,171845
525304439,-4421,190818,171873
525305142,-4632,190719,171727
525305845,-4340,190796,171897
525306546,-4565,190860,171820
525307247,-4524,190698,171676
525307950,-4628,190755,171707
525308651,-4475,190840,171865
525309352,-4701,190794,171699
525310055,-4628,190806,171990
525310758,-4589,190852,172075
525311459,-4453,190823,171856
525312161,-4435,190721,171870
525312864,-4427,190809,172159
525313566,-4425,190951,171946
525314267,-4594,190711,171938
525314969,-4560,190706,172231
525315671,-4796,190695,171873
525316372,-4396,190931,171889
525317074,-4454,190793,171923
525317777,-4567,190783,172131
525318479,-4597,190874,171716
525319181,-4579,190917,171594
525319883,-4665,190953,171884
525320585,-4463,190683,172046
525321287,-4509,190878,172050
525321989,-4467,191039,171755
525322690,-4570,190852,171846
525323391,-4296,190798,171892
525324094,-4446,190711,171977
525324797,-4630,190869,172260
525325498,-4757,190721,172032
525326201,-4725,190743,171699
525326904,-4520,190748,171827
525327605,-4697,190517,171777
525328306,-4399,190777,171834
525329009,-4637,190706,171903
525329712,-4514,190815,172122
525330413,-4665,190671,171650
525331115,-4426,190761,172107
525331818,-4692,190941,171801
525332520,-4692,190888,171782
525333221,-4572,190586,171775
525333923,-4623,190852,172046
525334625,-4718,190811,171880
525335326,-4658,190653,171876
525336028,-4706,190792,171909
525336731,-4444,190937,172019
525337433,-4631,190878,171752
525338135,-4602,190752,171741
525338837,-4515,190866,171703
525339539,-4337,190701,171887
525340241,-4613,190930,171807
525340943,-4421,190816,171844
525341644,-4332,190735,171913
525342346,-4498,190754,171752
525343049,-4494,190711,172061
525343751,-4404,190734,171933
525344452,-4610,190790,171893
525345155,-4517,190920,172106
525345857,-4624,190767,171804
525346558,-4555,190828,171968
525347260,-4575,190696,171950
525347963,-4602,190865,172050
525348664,-4413,190632,171720
525349365,-4417,190700,171958
525350068,-4616,190773,171620
525350771,-4493,190877,172127
