89,-2698,258872
272415649,2272,-2914,258541
272416351,2192,-2862,258610
272417053,2219,-2970,258595
272417755,2217,-2744,258669
272418457,2353,-2784,258720
272419160,2178,-2658,258679
272419862,2300,-2753,258212
272420563,2074,-2770,258813
272421265,2271,-2817,258436
272421968,2145,-2650,258802
272422669,2202,-2746,258978
272423370,2374,-2610,259016
272424073,2072,-2981,258831
272424776,2181,-2722,258865
272425477,2281,-2682,258767
272426179,2199,-2744,258819
272426881,2430,-2895,258788
272427583,1994,-2628,258909
272428284,2223,-2895,258669
272428986,2149,-2834,258287
272429687,2085,-2575,258672
272430389,2476,-2675,258877
272431092,2240,-2747,258658
272431794,2127,-2974,258113
272432495,2018,-2798,258607
272433198,2342,-2761,258415
272433901,2144,-2618,258672
272434602,2272,-2733,258635
272435303,2308,-2888,258742
272436006,2078,-2968,258413
272436709,2309,-2892,258884
272437410,2129,-2655,258734
272438112,2340,-2640,259254
272438815,2169,-2900,258827
272439517,2233,-2721,258633
272440218,2044,-2922,258720
272605639,2173,-2907,258525
272606341,2122,-2744,258260
272607043,1998,-2736,259034
272607745,2257,-2790,258542
272608446,2311,-2744,258740
272609149,2180,-2829,259168
272609852,2143,-2689,259041
272610553,2119,-2641,258952
272611254,2296,-2609,259154
272611957,2165,-2911,258864
272612659,2023,-2870,258572
272613360,2179,-2779,258384
272614062,2231,-2670,258836
272614764,2193,-2613,258687
272615466,2270,-2662,258594
272616169,2249,-2658,258332
272616872,2143,-2802,258781
272617573,2436,-2681,258443
272618274,2104,-2835,258269
272618977,2273,-2920,258913
272619679,1971,-2754,258268
272620380,2064,-2780,258639
272621082,2289,-2709,258758
272621785,2330,-2825,258641
272622487,2347,-2842,258953
272623190,2399,-2924,258859
272623892,2180,-2590,258859
272624593,2223,-2693,259017
272625294,2287,-2780,258878
272625997,2242,-2664,259077
272626698,2165,-2764,259215
272627399,2184,-2639,258745
272628101,2327,-2801,258584
272628804,2196,-2542,258667
272629506,2160,-2765,258341
272630208,2175,-2655,258242
272630910,2212,-2799,258639
272631612,2289,-2816,258465
272632314,2087,-2900,258719
272633016,2232,-2807,258348
272633718,2216,-2862,258539
272634420,2135,-2670,258537
272635123,2412,-2885,258694
272635825,2361,-2784,258837
272636526,2224,-2812,258698
272637227,2109,-2767,258661
272637930,2148,-2969,258530
272638631,2435,-2883,258927
272639332,2428,-2932,259077
272640035,2243,-2734,258494
272640738,2167,-2956,259041
272641439,2130,-2769,258440
272642141,2284,-2816,258806
272642844,2233,-2630,258558
272643546,2170,-2450,258563
272644247,2329,-2900,258266
272644949,2279,-2785,258556
272645651,2421,-2581,258523
272646353,2304,-2700,258609
272647055,2183,-2713,258491
272647757,2126,-2650,258795
272648459,2268,-2807,258618
272649162,2129,-2810,258454
272649865,2113,-2794,258558
272650566,2575,-2774,258632
272651267,2261,-2793,258841
272651970,2221,-2848,258840
272652671,2291,-2745,259166
272653372,2375,-2643,258643
272654075,2243,-2943,258548
272654778,2450,-2680,259050
272655479,2197,-2739,258561
272656181,2043,-2930,258988
272656884,2075,-2875,258230
272657586,2089,-2766,258510
272658287,2156,-2733,259037
272658989,2404,-2611,258463
272659691,2102,-2707,258574
272660392,1998,-2614,258751
272661095,2316,-2857,258489
272661798,2258,-2763,258926
272662499,2394,-2916,258447
272663201,2207,-2886,258402
272663903,2264,-2592,258684
272664605,2175,-2799,258276
272665307,2168,-2855,258836
272666009,2349,-2887,259107
272666711,2072,-2614,258919
272667413,2241,-2820,258743
272668116,2391,-2671,258552
272668819,2153,-2721,259085
272669520,2381,-2889,258946
272670221,2365,-2929,258865
272670924,2224,-2742,258792
272671625,1938,-2758,258715
272672326,2268,-2563,258878
272673029,2293,-2582,258499
272673732,2080,-2742,258430
272674434,2274,-2663,258274
272675136,2183,-2715,258585
272675838,2332,-2941,258630
272676540,2198,-2930,258403
272677242,2266,-2668,258946
272677944,2341,-2626,258865
272678645,2334,-2808,258634
272679347,2249,-2677,258798
272680050,2107,-2976,258492
272680753,2283,-2849,258935
272681454,2423,-2652,258925
272682157,2185,-2834,259059
272682860,2129,-2934,258729
272683561,2303,-2859,258690
272684262,2411,-2739,258472
272684965,2286,-2688,258390
272685667,2302,-2696,258602
272686368,2643,-2982,258189
272687070,2214,-2800,258602
272687772,1999,-2905,258447
272688474,2303,-2599,258489
272689177,2216,-2938,258399
272689879,1944,-2806,258467
272690580,2313,-2823,258436
272691282,2244,-2832,258686
272691985,2277,-2794,259041
272692686,2187,-2699,258717
272693387,2133,-2643,258818
272694089,2166,-2742,258847
272694791,2216,-2757,258692
272695493,2167,-2686,259211
272696196,2286,-2868,258930
272696898,2228,-2644,258824
272697599,2111,-2774,258483
272698301,2227,-2915,258828
272699004,2158,-2865,258788
272699706,2177,-2741,258855
272700407,2276,-2738,258479
272701110,2257,-2914,258383
272701813,2057,-2674,258608
272702514,2227,-2780,258274
272703215,2305,-2704,258561
272703918,2319,-2855,258452
272704620,2352,-2898,258613
272705321,2186,-2909,258586
272706023,2153,-2658,258929
272706725,2354,-2679,259051
272707427,2328,-2855,258724
272708130,2447,-2797,259083
272708832,2383,-2870,258704
272709533,2200,-2819,258961
272710235,2008,-2710,258945
272710938,2259,-2676,258792
272711639,2226,-2749,258928
272712340,2242,-2846,258782
272713043,2062,-2736,258604
272713746,2318,-2800,258428
272714447,2315,-2736,258609
272715149,2306,-2816,258329
272715852,2226,-2623,258848
272716554,2367,-2762,258379
272717255,2282,-2680,258761
272717957,2148,-2735,258770
272718658,2399,-2810,258565
