-2344,141420,214061
315897700,-2288,140923,213914
315898402,-2344,141032,214173
315899104,-2429,141030,214229
315899806,-2493,141095,213632
315900507,-2810,141294,214007
315901210,-2450,141104,214454
315901911,-2222,140988,214268
315902612,-2356,140934,214407
315903315,-2002,140753,214287
315904017,-2200,140775,214245
315904718,-1742,140461,214218
315905421,-1924,140398,214113
315906123,-2058,140807,214083
315906825,-1983,140870,214376
315907526,-2388,140925,213744
315908228,-2432,141074,213932
315908930,-2777,140960,214040
315909631,-2708,141155,213913
315910333,-2498,141327,214120
315911036,-2610,141238,214196
315911737,-2445,140903,213834
315912440,-2221,140758,214245
315913143,-2205,140677,213987
315913844,-1816,140753,214322
315914545,-1780,140805,214624
315915248,-1948,140600,213963
315915949,-2002,140855,214236
315916651,-2119,140935,214049
315917354,-2211,140941,214101
315918056,-2268,141107,213985
315918758,-2490,141308,214363
315919461,-2714,141271,213951
315920163,-3037,140967,214203
315920864,-2951,140970,214184
315921566,-2409,140961,214237
315922268,-2398,140974,214269
315922969,-2299,140573,214509
315923671,-2067,140867,214209
315924373,-1966,140658,214308
315925075,-2048,140503,214408
315925777,-2044,140762,213961
315926479,-2319,140693,214200
315927181,-2226,140957,213961
315927883,-2653,140819,214043
315928584,-2735,141108,214054
315929286,-2820,141018,214054
315929988,-2879,141027,214103
315930689,-2795,140709,214364
315931391,-2645,140801,214619
315932094,-2468,140719,213802
315932795,-2250,140349,214303
315933497,-2144,140581,214377
315934200,-2077,140569,214218
315934901,-1922,140533,213900
315935602,-1769,140769,213910
315936305,-1812,140868,214192
315937008,-2155,140953,214325
315937709,-2252,141199,214051
315938412,-2515,141023,213768
315939115,-2815,140971,214030
315939816,-2712,141192,214317
315940518,-2959,141189,214319
315941221,-2650,140770,214385
315941922,-2322,140801,214065
315942623,-1979,140676,214220
315943326,-2257,140802,214091
315944028,-2292,140745,214401
315944729,-1680,140607,214189
315945432,-2029,140820,214070
315946134,-1935,140939,214302
315946836,-2232,140795,214247
315947538,-2461,141480,213796
315948240,-2471,141053,213992
315948942,-2617,141171,214192
315949644,-2634,141098,214281
315950346,-2722,140783,214535
315951048,-2670,140682,214104
315951750,-2581,140770,214347
315952452,-2640,140789,213961
315953154,-2193,140814,214107
315953856,-2059,140798,214046
315954557,-1965,140518,214143
315955259,-2000,140866,213939
315955961,-2305,141107,214223
315956662,-2353,140812,214204
315957365,-2477,141031,214032
315958068,-2865,141286,214346
315958769,-2492,140826,214184
315959471,-2859,141304,214278
315960174,-2850,140883,214251
315960875,-2386,140874,214275
315961576,-2371,140975,214172
315962279,-2420,140905,214359
315962980,-2217,141081,214102
315963681,-1933,141069,213817
315964384,-1947,140838,213905
315965086,-2148,140789,213904
315965787,-2098,141022,213901
315966490,-2131,140710,213921
315967192,-2619,141202,213908
315967893,-2618,140924,214763
315968595,-2613,140911,214172
315969297,-2616,141045,214059
315969998,-2731,140814,214286
315970700,-2406,140724,214132
315971402,-2289,140865,214089
315972104,-2136,140819,214300
315972806,-1938,140754,213863
315973507,-2020,140807,214015
315974210,-1972,140874,214117
315974911,-1975,140730,214174
315975612,-1796,140841,213842
315976315,-2225,140830,213770
315977017,-2545,140703,214235
315977718,-2439,141096,214373
315978421,-2598,140770,214250
315979123,-2546,141301,214271
315979824,-2521,140837,213970
315980526,-2716,140877,214356
315981228,-2280,140854,213995
315981929,-2286,140891,214271
315982631,-2293,140709,213797
315983333,-2069,141024,214009
315984035,-1938,140972,214031
315984737,-2147,140824,214288
315985439,-1730,141035,213990
315986141,-2391,140754,214151
315986843,-2448,140783,214156
315987544,-2582,141004,214057
315988246,-2751,140977,214377
315988948,-2442,141150,214220
315989649,-2498,141050,214099
315990352,-2585,140773,214247
315991055,-2420,140979,214302
315991756,-2320,140794,213917
315992458,-2186,140724,214045
315993161,-2086,140969,214381
315993862,-2175,140713,214289
315994563,-1952,140653,214255
315995266,-2366,141005,214066
315995967,-2255,140868,214031
315996668,-2153,140839,214509
315997371,-2416,140860,214707
315998074,-2699,140937,214198
315998775,-2506,140893,213900
315999478,-2727,141175,213934
316000181,-2578,140725,214356
316000882,-2504,140975,214157
316001584,-2505,140934,214062
316002287,-2411,140753,214002
316002988,-2375,140833,214252
316003690,-2242,140885,214432
316004393,-2340,140653,214281
316005095,-2169,140818,214282
316005797,-2253,140693,214327
316006500,-2514,140596,214575
316007202,-2168,140797,214093
316007904,-2569,140792,214158
316008606,-2480,140853,214539
316009308,-2364,141136,214198
316010011,-2640,140871,214098
316010713,-2682,140961,214041
316011415,-2532,140943,213996
