-4367,190689,171977
680962837,-4404,190652,171919
680963539,-4653,190664,171746
680964241,-4425,190716,171604
680964943,-4454,190966,171888
680965644,-4589,190752,171828
680966345,-4710,190697,171927
680967048,-4733,190824,172140
680967751,-4440,190841,171954
680968452,-4701,190802,171949
680969155,-4637,190766,172000
680969858,-4769,190798,171776
680970559,-4671,190976,172107
680971260,-4634,190768,172029
680971962,-4508,190632,171964
680972664,-4308,190696,171847
680973366,-4502,190893,171958
680974068,-4437,190783,171946
680974770,-4346,190726,171883
680975472,-4547,190681,172111
680976175,-4468,190803,171961
680976877,-4608,190756,172018
680977578,-4418,190604,171779
680978280,-4355,190773,171840
680978983,-4436,190650,172063
680979684,-4724,190855,172041
680980385,-4568,190722,171961
680981088,-4593,190828,172181
680981791,-4549,190724,171720
680982492,-4705,190734,172137
680983195,-4467,190800,172082
680983898,-4649,190600,171879
680984600,-4553,190659,172175
680985301,-4297,190776,172164
680986003,-4510,190698,172030
680986706,-4395,190912,171622
680987408,-4367,190671,171912
680988110,-4597,190693,172015
680988812,-4553,190775,171762
680989513,-4431,190737,172183
680990215,-4671,190847,171742
680990918,-4697,190753,171870
681838118,-4596,190973,172056
681838821,-4452,191072,171904
681839523,-4469,190722,171632
681840224,-4517,190613,171901
681840927,-4384,190704,171933
681841629,-4680,190707,172132
681842330,-4520,190659,172078
681843032,-4579,190618,171914
681843735,-4512,190872,171957
681844437,-4555,190854,172001
681845139,-4497,190647,172160
681845841,-4590,190765,172150
681846543,-4484,190636,171896
681847244,-4488,191006,172006
681847946,-4573,190856,172341
681848648,-4342,190795,172199
681849350,-4443,190742,172034
681850052,-4450,190982,171999
681850754,-4540,190510,171794
681851456,-4485,190666,171787
681852158,-4506,190758,171960
681852860,-4507,190634,171919
681853562,-4462,190828,171852
681854264,-4502,190905,171774
681854966,-4589,190856,171930
681855667,-4305,190594,171864
681856369,-4757,190769,172144
681857071,-4620,190838,171943
681857773,-4489,190914,172074
681858475,-4521,190731,172107
681859178,-4614,190914,172138
681859880,-4361,190775,172180
681860581,-4633,190612,171876
681861283,-4399,190650,171864
681861986,-4817,190640,171901
681862687,-4579,190988,172029
681863389,-4258,190725,171834
681864091,-4405,190864,171938
681864794,-4616,190771,171848
681865496,-4541,190739,171727
681866198,-4369,190770,171729
681866900,-4782,190769,172182
681867602,-4500,190790,171992
681868304,-4601,190851,171956
681869006,-4565,190704,171978
681869709,-4727,190843,171941
681870411,-4511,190819,172105
681871113,-4579,190761,171982
681871815,-4368,190841,171698
681872517,-4446,190847,171579
681873219,-4584,190703,171977
681873921,-4517,190638,171874
681874622,-4650,190741,172031
681875324,-4560,190819,171785
681876026,-4587,190814,171898
681876728,-4322,190859,171731
681877430,-4640,190684,171979
681878133,-4573,190710,172125
681878835,-4720,190776,171773
681879536,-4720,190780,172221
681880238,-4629,190923,172045
681880941,-4522,190788,172015
681881642,-4382,190819,172124
681882344,-4625,190925,171910
681883047,-4552,190809,171830
681883749,-4441,190770,171983
681884450,-4367,190743,171878
681885153,-4697,190764,171945
681885856,-4507,190752,171948
681886557,-4482,190802,171816
681887258,-4606,190848,171850
681887961,-4466,190828,171668
681888662,-4581,190793,171844
681889363,-4427,190689,172036
681890066,-4471,191007,172189
681890769,-4512,190865,171808
681891470,-4646,190922,171951
681892173,-4549,190895,171733
681892876,-4516,190743,172127
681893577,-4286,190684,172079
681894278,-4610,190765,172199
681894981,-4482,190761,172042
681895682,-4296,190884,172026
681896384,-4529,190658,172092
681897086,-4674,190707,171708
681897788,-4290,190679,171547
681898490,-4286,190700,171844
681899193,-4525,190689,171658
681899895,-4450,190776,171723
681900597,-4540,190723,171777
681901299,-4465,190738,171715
681902001,-4768,190706,171845
681902702,-4644,190759,172285
681903404,-4552,190951,171973
681904106,-4535,190794,171793
681904808,-4795,190904,171934
681905510,-4608,190725,171914
681906212,-4470,190929,171570
681906914,-4574,190676,172179
681907615,-4404,190810,171736
681908317,-4551,190819,171962
681909020,-4603,190792,171720
681909722,-4255,190570,171901
681910423,-4504,190770,171939
681911126,-4609,190814,171811
681911829,-4445,190776,171718
681912530,-4589,190929,172110
681913231,-4415,190909,172275
681913934,-4617,190784,172058
681914635,-4481,190807,171951
681915336,-4677,190717,172044
681916039,-4714,190697,171662
681916742,-4484,190890,171927
681917443,-4529,190686,171983
681918146,-4644,190743,172152
681918849,-4481,190765,171876
681919550,-4485,191061,171928
681920251,-4470,190773,171850
681920954,-4468,190638,172038
681921656,-4479,190923,171894
681922357,-4695,190465,171826
681923059,-4575,190648,171808
681923762,-4221,190728,171802
681924464,-4623,190785,171937
681925166,-4495,190925,171860
681925868,-4567,190785,172043
681926570,-4587,190652,172085
681927271,-4590,190878,171858
681927973,-4490,190841,172071
681928674,-4807,190881,172054
681929376,-4513,190664,172214
681930078,-4459,190677,172028
681930780,-4415,190950,171714
681931482,-4377,190703,171891
681932185,-4560,190605,171823
681932887,-4640,190646,171835
681933588,-4463,190832,172099
681934290,-4680,190951,172067
681934993,-4490,190883,171883
681935694,-4565,190676,171921
681936395,-4632,190915,172068
681937098,-4531,190755,171757
681937801,-4472,190782,171892
681938502,-4662,190718,172136
681939203,-4404,190649,171996
681939905,-4567,190769,171799
681940606,-4635,190916,171918
681941308,-4460,190791,171728
681942010,-4524,190593,171811
681942712,-4613,190701,171842
681943414,-4456,190777,172208
681944117,-4439,190985,171843
681944819,-4584,190734,171873
681945520,-4616,190573,172054
681946222,-4473,190728,171912
681946925,-4505,190688,171843
681947626,-4635,190602,172094
681948327,-4567,190828,171866
681949030,-4536,190755,171934
681949733,-4553,190568,171965
681950434,-4419,190703,172006
681951137,-4503,190744,172065
681951840,-4322,190807,172023
681952541,-4504,190733,171831
681953242,-4506,190896,172001
681953945,-4437,190908,171820
681954646,-4290,190842,172104
681955347,-4585,190931,171865
681956050,-4644,190998,171695
681956753,-4462,190727,171945
681957454,-4628,190803,171902
681958156,-4555,190850,171813
681958859,-4563,190740,171790
681959561,-4759,190780,171757
681960262,-4768,190715,172104
681960964,-4660,190737,172032
681961666,-4520,190893,172008
681962368,-4615,190913,172032
681963070,-4328,191000,172030
681963772,-4477,190693,172126
681964474,-4485,190691,171979
681965177,-4485,190636,171648
681965879,-4419,190776,171825
681966580,-4639,190778,171812
681967282,-4356,190755,171921
681967985,-4416,190728,171953
681968686,-4509,190715,171861
681969387,-4511,190646,171984
681970089,-4554,190714,172098
681970792,-4665,190710,171751
681971494,-4407,190926,172127
681972196,-4328,190652,172081
681972898,-4685,190847,172279
681973600,-4482,190641,171918
681974301,-4660,190517,171952
681975003,-4518,190671,171780
681975706,-4549,190869,171989
681976408,-4633,190557,171756
681977110,-4642,190648,171868
681977812,-4551,190771,171818
681978514,-4596,190698,171870
681979216,-4656,191038,171855
681979918,-4558,190824,171947
681980619,-4603,190780,171960
681981321,-4549,190835,172059
681982024,-4624,190759,172001
681982726,-4524,190836,172017
681983427,-4615,190799,172031
681984130,-4754,190686,171869
681984832,-4503,190660,171997
681985533,-4606,190872,171950
681986235,-4512,190780,171971
681986938,-4581,190729,171706
681987639,-4305,190676,171622
681988340,-4486,190599,171608
681989043,-4417,190793,171921
681989746,-4463,190584,171937
681990447,-4583,190849,172100
681991150,-4573,190858,172037
681991853,-4427,190838,172029
681992554,-4581,190980,172010
681993255,-4652,190839,172130
681993958,-4520,190680,171839
681994660,-4536,190754,171964
681995361,-4639,190775,171817
681996063,-4686,190623,171951
681996766,-4486,190749,171856
681997468,-4572,190897,172191
